,LOCATION,SUBJECT,MEASURE,TIME,VALUE
99,AUS,SHEEP,KG_CAP,1999.0,15.25
100,AUS,SHEEP,KG_CAP,2000.0,16.368
101,AUS,SHEEP,KG_CAP,2001.0,14.977
102,AUS,SHEEP,KG_CAP,2002.0,13.779000000000002
103,AUS,SHEEP,KG_CAP,2003.0,12.152999999999999
104,AUS,SHEEP,KG_CAP,2004.0,11.984000000000002
105,AUS,SHEEP,KG_CAP,2005.0,11.992
106,AUS,SHEEP,KG_CAP,2006.0,12.37
107,AUS,SHEEP,KG_CAP,2007.0,12.587
108,AUS,SHEEP,KG_CAP,2008.0,10.992
109,AUS,SHEEP,KG_CAP,2009.0,10.334000000000001
110,AUS,SHEEP,KG_CAP,2010.0,8.972999999999999
111,AUS,SHEEP,KG_CAP,2011.0,8.046
112,AUS,SHEEP,KG_CAP,2012.0,8.722999999999999
113,AUS,SHEEP,KG_CAP,2013.0,8.722999999999999
114,AUS,SHEEP,KG_CAP,2014.0,8.116
115,AUS,SHEEP,KG_CAP,2015.0,9.346
116,AUS,SHEEP,KG_CAP,2016.0,8.5
117,AUS,SHEEP,KG_CAP,2017.0,7.755
118,AUS,SHEEP,KG_CAP,2018.0,6.982
119,AUS,SHEEP,KG_CAP,2019.0,6.18
120,CAN,BEEF,KG_CAP,1990.0,25.002
121,CAN,BEEF,KG_CAP,1991.0,24.456
122,CAN,BEEF,KG_CAP,1992.0,23.83
123,CAN,BEEF,KG_CAP,1993.0,22.805
124,CAN,BEEF,KG_CAP,1994.0,23.226
125,CAN,BEEF,KG_CAP,1995.0,23.309
126,CAN,BEEF,KG_CAP,1996.0,23.048000000000002
127,CAN,BEEF,KG_CAP,1997.0,23.105999999999998
128,CAN,BEEF,KG_CAP,1998.0,23.379
129,CAN,BEEF,KG_CAP,1999.0,23.8
130,CAN,BEEF,KG_CAP,2000.0,23.410999999999998
131,CAN,BEEF,KG_CAP,2001.0,22.5
132,CAN,BEEF,KG_CAP,2002.0,22.415
133,CAN,BEEF,KG_CAP,2003.0,23.655
134,CAN,BEEF,KG_CAP,2004.0,22.711
135,CAN,BEEF,KG_CAP,2005.0,21.994
136,CAN,BEEF,KG_CAP,2006.0,21.711
137,CAN,BEEF,KG_CAP,2007.0,22.146
138,CAN,BEEF,KG_CAP,2008.0,21.473000000000003
139,CAN,BEEF,KG_CAP,2009.0,20.434
140,CAN,BEEF,KG_CAP,2010.0,20.305
141,CAN,BEEF,KG_CAP,2011.0,19.804000000000002
142,CAN,BEEF,KG_CAP,2012.0,20.012
143,CAN,BEEF,KG_CAP,2013.0,19.813
144,CAN,BEEF,KG_CAP,2014.0,19.177
145,CAN,BEEF,KG_CAP,2015.0,17.633
146,CAN,BEEF,KG_CAP,2016.0,18.316
147,CAN,BEEF,KG_CAP,2017.0,18.273
148,CAN,BEEF,KG_CAP,2018.0,18.422
149,CAN,BEEF,KG_CAP,2019.0,17.623
150,CAN,PIG,KG_CAP,1990.0,20.596999999999998
151,CAN,PIG,KG_CAP,1991.0,20.367
152,CAN,PIG,KG_CAP,1992.0,22.342
153,CAN,PIG,KG_CAP,1993.0,21.749000000000002
154,CAN,PIG,KG_CAP,1994.0,22.368000000000002
155,CAN,PIG,KG_CAP,1995.0,21.894000000000002
156,CAN,PIG,KG_CAP,1996.0,20.477999999999998
157,CAN,PIG,KG_CAP,1997.0,20.035
158,CAN,PIG,KG_CAP,1998.0,22.595
159,CAN,PIG,KG_CAP,1999.0,23.669
160,CAN,PIG,KG_CAP,2000.0,22.576999999999998
161,CAN,PIG,KG_CAP,2001.0,22.805
162,CAN,PIG,KG_CAP,2002.0,21.951999999999998
163,CAN,PIG,KG_CAP,2003.0,19.811
164,CAN,PIG,KG_CAP,2004.0,21.006
165,CAN,PIG,KG_CAP,2005.0,18.148
166,CAN,PIG,KG_CAP,2006.0,18.442
167,CAN,PIG,KG_CAP,2007.0,19.695
168,CAN,PIG,KG_CAP,2008.0,18.701
169,CAN,PIG,KG_CAP,2009.0,18.482
170,CAN,PIG,KG_CAP,2010.0,17.28
171,CAN,PIG,KG_CAP,2011.0,16.741
172,CAN,PIG,KG_CAP,2012.0,17.435
173,CAN,PIG,KG_CAP,2013.0,16.326
174,CAN,PIG,KG_CAP,2014.0,16.093
175,CAN,PIG,KG_CAP,2015.0,17.994
176,CAN,PIG,KG_CAP,2016.0,15.975999999999999
177,CAN,PIG,KG_CAP,2017.0,16.374000000000002
178,CAN,PIG,KG_CAP,2018.0,17.0
179,CAN,PIG,KG_CAP,2019.0,16.259
180,CAN,POULTRY,KG_CAP,1990.0,24.42
181,CAN,POULTRY,KG_CAP,1991.0,24.395
182,CAN,POULTRY,KG_CAP,1992.0,24.423000000000002
183,CAN,POULTRY,KG_CAP,1993.0,25.037
184,CAN,POULTRY,KG_CAP,1994.0,26.645
185,CAN,POULTRY,KG_CAP,1995.0,26.324
186,CAN,POULTRY,KG_CAP,1996.0,26.128
187,CAN,POULTRY,KG_CAP,1997.0,26.615
188,CAN,POULTRY,KG_CAP,1998.0,27.206
189,CAN,POULTRY,KG_CAP,1999.0,28.395
190,CAN,POULTRY,KG_CAP,2000.0,29.706999999999997
191,CAN,POULTRY,KG_CAP,2001.0,30.892
192,CAN,POULTRY,KG_CAP,2002.0,31.212
193,CAN,POULTRY,KG_CAP,2003.0,31.337
194,CAN,POULTRY,KG_CAP,2004.0,31.555999999999997
195,CAN,POULTRY,KG_CAP,2005.0,31.689
196,CAN,POULTRY,KG_CAP,2006.0,31.929000000000002
197,CAN,POULTRY,KG_CAP,2007.0,32.010999999999996
198,CAN,POULTRY,KG_CAP,2008.0,32.082
199,CAN,POULTRY,KG_CAP,2009.0,31.679000000000002
200,CAN,POULTRY,KG_CAP,2010.0,31.340999999999998
201,CAN,POULTRY,KG_CAP,2011.0,30.326999999999998
202,CAN,POULTRY,KG_CAP,2012.0,30.065
203,CAN,POULTRY,KG_CAP,2013.0,30.353
204,CAN,POULTRY,KG_CAP,2014.0,31.163
205,CAN,POULTRY,KG_CAP,2015.0,32.556999999999995
206,CAN,POULTRY,KG_CAP,2016.0,33.188
207,CAN,POULTRY,KG_CAP,2017.0,33.413000000000004
208,CAN,POULTRY,KG_CAP,2018.0,34.836
209,CAN,POULTRY,KG_CAP,2019.0,35.33
210,CAN,SHEEP,KG_CAP,1990.0,0.7340000000000001
211,CAN,SHEEP,KG_CAP,1991.0,0.768
212,CAN,SHEEP,KG_CAP,1992.0,0.745
213,CAN,SHEEP,KG_CAP,1993.0,0.7559999999999999
214,CAN,SHEEP,KG_CAP,1994.0,0.727
215,CAN,SHEEP,KG_CAP,1995.0,0.7170000000000001
216,CAN,SHEEP,KG_CAP,1996.0,0.667
217,CAN,SHEEP,KG_CAP,1997.0,0.655
218,CAN,SHEEP,KG_CAP,1998.0,0.733
219,CAN,SHEEP,KG_CAP,1999.0,0.757
220,CAN,SHEEP,KG_CAP,2000.0,0.833
221,CAN,SHEEP,KG_CAP,2001.0,0.915
222,CAN,SHEEP,KG_CAP,2002.0,0.914
223,CAN,SHEEP,KG_CAP,2003.0,0.956
224,CAN,SHEEP,KG_CAP,2004.0,0.977
225,CAN,SHEEP,KG_CAP,2005.0,0.986
226,CAN,SHEEP,KG_CAP,2006.0,1.069
227,CAN,SHEEP,KG_CAP,2007.0,1.073
228,CAN,SHEEP,KG_CAP,2008.0,1.026
229,CAN,SHEEP,KG_CAP,2009.0,1.013
230,CAN,SHEEP,KG_CAP,2010.0,0.953
231,CAN,SHEEP,KG_CAP,2011.0,0.9309999999999999
232,CAN,SHEEP,KG_CAP,2012.0,0.846
233,CAN,SHEEP,KG_CAP,2013.0,0.877
234,CAN,SHEEP,KG_CAP,2014.0,0.9209999999999999
235,CAN,SHEEP,KG_CAP,2015.0,0.914
236,CAN,SHEEP,KG_CAP,2016.0,0.929
237,CAN,SHEEP,KG_CAP,2017.0,0.971
238,CAN,SHEEP,KG_CAP,2018.0,1.022
239,CAN,SHEEP,KG_CAP,2019.0,0.978
240,JPN,BEEF,KG_CAP,1990.0,6.0
241,JPN,BEEF,KG_CAP,1991.0,6.401
242,JPN,BEEF,KG_CAP,1992.0,6.65
243,JPN,BEEF,KG_CAP,1993.0,7.2860000000000005
244,JPN,BEEF,KG_CAP,1994.0,8.003
